institution_name,institution_city,institution_state,title,publication_date,document_number,affiliated_entity_ids
"Tonto National Forest, United States Forest Service",Phoenix,AZ,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Control of Tonto National Forest, United States Forest Service, Phoenix, AZ",1996-09-26,96-24687,TRBF-HOPIAZ-00|TRBF-ZUNINM-00
"Nevada State Office, Bureau of Land Management",Reno,NV,"Notice of Inventory Completion for Native American Human Remains From White Pine County, NV, and Churchill County, NV, in the Control of the Nevada State Office, Bureau of Land Management, Reno, NV",1996-10-03,96-25351,TRBF-TEMOAK-00
California Academy of Sciences,San Francisco,CA,"Notice of Inventory Completion for Native American Human Remains From Hawaii in the Possession of the California Academy of Sciences, San Francisco, CA",1996-10-03,96-25352,NHO-FFCHWN-00
Los Angeles County Museum of Natural History,Los Angeles,CA,"Notice of Inventory Completion for Native American Human Remains From Hawaii in the Possession of the Los Angeles County Museum of Natural History, Los Angeles, CA",1996-10-03,96-25353,NHO-FFCHWN-00
Fort Union Trading Post National Historic Site,Williston,ND,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession of Fort Union Trading Post National Historic Site, Williston, ND",1996-10-04,96-25472,TRBF-ABSXFP-00|TRBF-BELKNP-00|TRBF-MHATAT-00
Channel Islands National Park,Ventura,CA,"Notice of Inventory Completion for Native American Human Remains in the Possession of Channel Islands National Park, Ventura, CA",1996-10-10,96-26042,TRBF-STAYNZ-00
University of Pennsylvania Museum of Archaeology and Anthropology,Philadelphia,PA,"Notice of Inventory Completion of Native American Human Remains from the State of Hawaii in the Possession of the University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, PA",1996-10-15,96-26377,NHO-FFCHWN-00
"Oklahoma Museum of Natural History, University of Oklahoma",Norman,OK,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Oklahoma in the Control of the Oklahoma Museum of Natural History, University of Oklahoma, Norman, OK",1996-10-28,96-27549,TRBF-CHYARP-00
Seattle Art Museum,Seattle,WA,"Notice of Intent to Repatriate a Cultural Item in the Possession of the Seattle Art Museum, Seattle, WA",1996-11-14,96-29154,AKNF-TLNGHD-00-SEALSK
Denver Museum of Natural History,Denver,CO,"Notice of Intent to Repatriate a Cultural Item from Alaska in the Possession of the Denver Museum of Natural History, Denver, CO",1996-11-27,96-30341,AKNF-TLNGHD-00-SEALSK
of Native American Human Remains From the Islands of O'ahu and Hawaii in the Collections of the Hawai'i Maritime Center,Honolulu,HI,"Notice of Inventory Completion of Native American Human Remains From the Islands of O'ahu and Hawaii in the Collections of the Hawai'i Maritime Center, Honolulu, HI",1996-12-04,96-30817,NHO-FFCHWN-00
Bernice Pauahi Bishop Museum,Honolulu,HI,"Notice of Inventory Completion of Native American Human Remains and Associated Funerary Objects From the Island of Hawaii in the Possession of the Bernice Pauahi Bishop Museum, Honolulu, HI",1996-12-04,96-30818,NHO-FFCHWN-00
"National Park Service, Little Bighorn Battlefield National Monument",Crow Agency,MT,"Notice of Inventory Completion for Native American Human Remains in the Possession of the National Park Service, Little Bighorn Battlefield National Monument, Crow Agency, MT",1996-12-13,96-31741,TRBF-CROWMT-00|TRBF-MHATAT-00
"Bandelier National Monument, National Park Service",Los Alamos,NM,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession of Bandelier National Monument, National Park Service, Los Alamos, NM",1996-12-18,96-32095,TRBF-ACOMAP-00|TRBF-COCHTI-00|TRBF-HOPIAZ-00|TRBF-ISLETA-00|TRBF-JEMEZP-00|TRBF-LAGUNA-00|TRBF-NAMBEP-00|TRBF-PCURIS-00|TRBF-POJOAQ-00|TRBF-SANDIA-00|TRBF-SCLARA-00|TRBF-SDMNGO-00|TRBF-SFLIPE-00|TRBF-SILDFN-00|TRBF-SNJUAN-00|TRBF-TAOSPB-00|TRBF-TSUQUE-00|TRBF-YLSTSR-00|TRBF-ZIAPBL-00|TRBF-ZUNINM-00
W.H. Over State Museum of the South Dakota State Historical Society,Vermillion,SD,"Notice of Intent to Repatriate a Cultural Item in the Possession of the W.H. Over State Museum of the South Dakota State Historical Society, Vermillion, SD",1997-01-16,97-1066,TRBF-PNCANE-00
Mesa Southwest Museum,Mesa,AZ,"Notice of Intent to Repatriate Cultural Items in the Possession of the Mesa Southwest Museum, Mesa, AZ",1997-01-27,97-1854,TRBF-SNCRLS-00
"Cibola National Forest, United States Forest Service",Albuquerque,NM,"Notice of Intent to Repatriate Cultural Items in the Possession of the Cibola National Forest, United States Forest Service, Albuquerque, NM",1997-01-27,97-1856,TRBF-ACOMAP-00
University of Alaska Museum,Fairbanks,AK,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Kenai, AK, in the Possession of the University of Alaska Museum, Fairbanks, AK",1997-02-14,97-3682,AKNF-KENTZE-00-CKINLT
Nevada State Museum,Carson City,NV,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from near Yerington, Nevada, in the Possession of the Nevada State Museum, Carson City, NV",1997-02-14,97-3683,TRBF-YRNGTN-00
"Museum of Anthropology, University of Michigan",Ann Arbor,MI,"Notice of Inventory Completion for Native American Human Remains and Unassociated Funerary Objects from Emmet County, MI, in the Possession of the Museum of Anthropology, University of Michigan, Ann Arbor, MI",1997-02-24,97-4469,TRBF-LTRVRS-00
"Department of Anthropology, Central Washington University; Associated Funerary Objects from Kitsap County, WA in the Possession of The Burke Museum, University of Washington",Ellensburg,WA,"Notice of Inventory Completion for Native American Human Remains From Kitsap County, WA, in the Possession of the Department of Anthropology, Central Washington University, Ellensburg, WA, and Associated Funerary Objects from Kitsap County, WA in the Possession of The Burke Museum, University of Washington, Seattle, WA",1997-03-04,97-5213,TRBF-SKOKOM-00
"Arizona State Museum, University of Arizona",Tucson,AZ,"Notice of Intent to Repatriate Cultural Items in the Possession of the Arizona State Museum, University of Arizona, Tucson, AZ",1997-03-04,97-5215,TRBF-HOPIAZ-00
Physical Anthropology Laboratory of the University of Nevada-Las Vegas,Las Vegas,NV,"Notice of Inventory Completion for Native American Human Remains from Lyon County, NV, in the Possession of the Physical Anthropology Laboratory of the University of Nevada-Las Vegas, Las Vegas, NV",1997-03-12,97-6180,TRBF-YRNGTN-00
San Diego Museum of Man,San Diego,CA,"Notice of Intent to Repatriate Cultural Items From Arizona in the Possession of the San Diego Museum of Man, San Diego, CA",1997-03-12,97-6184,TRBF-HOPIAZ-00
Minnesota Historical Society,St. Paul,MN,"Notice of Inventory Completion for Native American Human Remains From Itasca County, MN, in the Possession of the Minnesota Historical Society, St. Paul, MN",1997-03-26,97-7598,TRBF-ABSXFP-00|TRBF-BADRVR-00|TRBF-BELKNP-00|TRBF-GRTRVS-00|TRBF-KWNWBY-00|TRBF-LFLAMB-00|TRBF-LVDSRT-00|TRBF-MINNCH-00|TRBF-REDCLF-00|TRBF-REDLKE-00|TRBF-ROCKYB-00|TRBF-SCROIX-00|TRBF-SGINAW-00|TRBF-SMARIE-00|TRBF-SOKGON-00|TRBF-TURTLM-00
Alaska State Museum,Juneau,AK,"Notice of Inventory Completion for Native American Human Remains From the Vicinity of Juneau, AK, in the Possession of the Alaska State Museum, Juneau, AK",1997-03-26,97-7601,AKNF-TLNGHD-00-SEALSK
Putnam Museum of History and Natural Science,Davenport,IA,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From the Pine Creek, IA, in the Possession of the Putnam Museum of History and Natural Science, Davenport, IA",1997-03-26,97-7602,TRBF-IOWAOK-00|TRBF-SCFXMO-00|TRBF-SCFXMS-00|TRBF-SCFXOK-00
"Anasazi Heritage Center, Bureau of Land Management",Dolores,CO,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From Colorado in the Possession of the Anasazi Heritage Center, Bureau of Land Management, Dolores, CO",1997-03-27,97-7796,TRBF-UTEMTN-00
"Museum of Anthropology, University of Kansas",Lawrence,KS,"Notice of Inventory Completion for Native American Human Remains and Unassociated Funerary Objects from South Dakota in the Possession of the Museum of Anthropology, University of Kansas, Lawrence, KS",1997-04-01,97-8214,TRBF-MHATAT-00
State Historical Society of Wisconsin,Madison,WI,"Notice of Intent to Repatriate Cultural Items in the Possession of the State Historical Society of Wisconsin, Madison, WI",1997-04-01,97-8215,TRBF-LFLAMB-00
Missouri Historical Society,St. Louis,MO,"Notice of Inventory Completion for Native American Human Remains from Missouri and Montana in the Possession of the Missouri Historical Society, St. Louis, MO",1997-04-16,97-9834,TRBF-ABSXFP-00|TRBF-CHYARP-00|TRBF-CHYNRV-00|TRBF-CROWCR-00|TRBF-LBRULE-00|TRBF-NORCHY-00|TRBF-OGLALA-00|TRBF-OTOMSA-00|TRBF-ROSEBD-00|TRBF-SANTSX-00|TRBF-STNDRK-00|TRBF-SWOYTE-00|TRBF-YANKTN-00
"Laboratory of Anthropology, Museum of Indian Arts and Culture, Museum of New Mexico",Santa Fe,NM,"Notice of Intent to Repatriate Cultural Items from Arizona in the Possession of the Laboratory of Anthropology, Museum of Indian Arts and Culture, Museum of New Mexico, Santa Fe, NM",1997-04-16,97-9835,TRBF-HOPIAZ-00
Southwest Museum,Los Angeles,CA,"Notice of Intent to Repatriate a Cultural Item in the Control of the Southwest Museum, Los Angeles, CA",1997-04-16,97-9836,TRBF-ZUNINM-00
Neville Public Museum of Brown County,Green Bay,WI,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From Wisconsin in the Possession of the Neville Public Museum of Brown County, Green Bay, WI",1997-05-22,97-13462,TRBF-HOCHNK-00|TRBF-IOWAKN-00|TRBF-IOWAOK-00|TRBF-WNNBGO-00
"Department of Anthropology, Central Washington University",Ellensburg,WA,"Notice of Inventory Completion for Native American Human Remains from Washington State in the Possession of the Department of Anthropology, Central Washington University, Ellensburg, WA",1997-06-11,97-15224,TRBF-MCKLSH-00
"Sitka National Historical Park, National Park Service",Sitka,AK,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession of Sitka National Historical Park, National Park Service, Sitka, AK",1997-06-16,97-15681,AKNF-SITKAT-00-SEALSK-TLNGHD
Tallahassee Museum of History & Natural Science,Tallahassee,FL,"Notice of Intent to Repatriate a Cultural Item from Arizona in the Control of the Tallahassee Museum of History & Natural Science, Tallahassee, FL",1997-06-16,97-15682,TRBF-HOPIAZ-00
Maine State Museum,Augusta,ME,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From Maine in the Possession of the Maine State Museum, Augusta, ME",1997-06-20,97-16165,TRBF-PNBSCT-00
Museum of Northern Arizona,Flagstaff,AZ,"Notice of Intent To Repatriate Cultural Items in the Possession of the Museum of Northern Arizona, Flagstaff, AZ",1997-06-27,97-16904,TRBF-HOPIAZ-00
Clarke Memorial Museum,Eureka,CA,"Notice of Inventory Completion for Native American Human Remains, Associated Funerary Objects, and Unassociated Funerary Objects from Indian Island, CA in the Possession of the Clarke Memorial Museum, Eureka, CA",1997-06-27,97-16906,TRBF-WIYOTT-00
"Katmai National Park and Preserve, National Park Service",Anchorage and King Salmon,AK,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Control of the Katmai National Park and Preserve, National Park Service, Anchorage and King Salmon, AK",1997-06-27,97-16907,AKNF-AKHIOK-00-KONIAG|AKNF-CGNKBY-00-BRBYCO-BRBYAS|AKNF-CGNKLG-00-BRBYCO-BRBYAS|AKNF-KARLUK-00-KONIAG|AKNF-KNGSAL-00-BRBYCO-BRBYAS|AKNF-LARSBY-00-KONIAG|AKNF-NAKNEK-00-BRBYCO-BRBYAS|AKNF-OZNKIE-00-KONIAG|AKNF-PRRYVL-00-BRBYCO-BRBYAS|AKNF-PRTLNS-00-KONIAG|AKNF-SNKNEK-00-BRBYCO-BRBYAS
University of Pennsylvania Museum of Archaeology and Anthropology; Academy of Natural Sciences,Philadelphia,PA,"Notice of Inventory Completion for Native American Human Remains from Hawaii in the Possession of the University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, PA; and in the Control of the Academy of Natural Sciences, Philadelphia, PA",1997-07-11,97-18231,NHO-FFCHWN-00
"Indian Arts Research Center, School of American Research",Santa Fe,NM,"Notice of Intent to Repatriate Cultural Items in the Possession of the Indian Arts Research Center, School of American Research, Santa Fe, NM",1997-07-11,97-18232,TRBF-HOPIAZ-00
"Noatak National Preserve, National Park Service",Kotzebue,AK,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession of the Noatak National Preserve, National Park Service, Kotzebue, AK",1997-07-16,97-18709,AKNF-NOATAK-00-NANARC-MANLLQ
Kansas State Historical Society,Topeka,KS,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Shawnee County, KS in the Possession of the Kansas State Historical Society, Topeka, KS",1997-07-28,97-19788,TRBF-CITIZN-00|TRBF-PRAIRB-00
"Idaho State Office, Bureau of Land Management",Boise,ID,"Notice of Inventory Completion for Native American Human Remains from Idaho in the Control of the Idaho State Office, Bureau of Land Management, Boise, ID",1997-08-01,97-20320,TRBF-DUCKVY-00|TRBF-FTHALL-00
"Chugach National Forest, United States Forest Service",Anchorage,AK,"Notice of Inventory Completion for Native American Human Remains from Prince William Sound, AK, in the Control of the Chugach National Forest, United States Forest Service, Anchorage, AK",1997-08-06,97-20634,AKNF-CHNEGA-00-CHGCCO-CHGCMT|AKNF-NVEYAK-00-CHGCCO-CHGCMT|AKNF-TATTLK-00-CHGCCO-CHGCMT
"Manti- La Sal National Forest, United States Forest Service",Price,UT,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From Utah in the Control of the Manti- La Sal National Forest, United States Forest Service, Price, UT",1997-08-13,97-21398,TRBF-HOPIAZ-00
"U.S. Army Corps of Engineers, Tulsa District",Tulsa,OK,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession of the U.S. Army Corps of Engineers, Tulsa District, Tulsa, OK",1997-08-29,97-23107,TRBF-ALQSRT-00|TRBF-MSENAT-00|TRBF-SMNLOK-00|TRBF-TLPLCO-00
"Fort Burgwin Research Center, Southern Methodist University",Dallas,TX,"Notice of Inventory Completion for Native American Human Remains from New Mexico in the Possession of the Fort Burgwin Research Center, Southern Methodist University, Dallas, TX",1997-08-29,97-23109,TRBF-PCURIS-00|TRBF-TAOSPB-00
Southwestern College,Chula Vista,CA,"Notice of Inventory Completion for Native American Human Remains and Unassociated Funerary Objects From San Diego County, CA, in the Possession of Southwestern College, Chula Vista, CA",1997-09-12,97-24196,TRBF-CAMPOB-00
"Anthropology Section, Illinois State Museum",Springfield,IL,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from the Illinois counties of La Salle, Madison, Perry, and Randolph in the Possession of the Anthropology Section, Illinois State Museum, Springfield, IL",1997-09-15,97-24375,TRBF-PEORIA-00
"Coronado National Forest, United States Forest Service",Tucson,AZ,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Pima, Santa Cruz, and Cochise Counties, AZ in the Control of the Coronado National Forest, United States Forest Service, Tucson, AZ",1997-09-18,97-24823,TRBF-AKCHIN-00|TRBF-FSCWSA-00|TRBF-GILARV-00|TRBF-MSCLRO-00|TRBF-SRPMCP-00|TRBF-THNODM-00
Nebraska State Historical Society,Lincoln,NE,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From Nebraska in the Possession of the Nebraska State Historical Society, Lincoln, NE",1997-09-18,97-24824,TRBF-IOWAKN-00|TRBF-IOWAOK-00|TRBF-KAWNOK-00|TRBF-OTOMSA-00
"Humboldt-Toiyabe National Forests, United States Forest Service",Elko,NV,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Nevada in the Control of the Humboldt-Toiyabe National Forests, United States Forest Service, Elko, NV",1997-09-26,97-25578,TRBF-TEMOAK-00
Palm Springs Desert Museum,Palm Springs,CA,"Notice of Intent to Repatriate Cultural Items in the Possession of the Palm Springs Desert Museum, Palm Springs, CA",1997-09-26,X97-10926,TRBF-ACLNTE-00
