bill_id,title,congress,chamber,sponsor,introduced_date,latest_action,policy_area,entity_names
104-s-1998,"A bill to provide for expedited negotiations between the Secretary of the Interior and the villages of Chickaloon-Moose Creek Native Association, Inc., Ninilichik Native Association, Inc., Seldovia Native Association, Inc., Tyonek Native Corporation and Knikatnu, Inc. regarding the conveyances of certain lands in Alaska Under the Alaska Native Claims Settlement Act, and for other purposes.",104,Senate,"Sen. Murkowski, Frank H. [R-AK]",1996-07-29,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 104-767.,Native Americans,"Tyonek|Chickaloon Moose Creek Native Association, Inc.|Knikatnu, Inc.|Seldovia Native Association, Inc."
104-s-2111,Navajo-Hopi Land Settlement Act Amendments of 1996,104,Senate,"Sen. McCain, John [R-AZ]",1996-09-24,Committee on Indian Affairs. Hearings held.,Native Americans,Hopi|Navajo
104-s-349,A bill to reauthorize appropriations for the Navajo-Hopi Relocation Housing Program.,104,Senate,"Sen. McCain, John [R-AZ]",1995-02-02,Became Public Law No: 104-15.,Native Americans,Hopi|Navajo
104-s-614,"A bill to confer jurisdiction of the United States Court of Federal Claims with respect to land claims of Pueblo of Isleta Indian Tribe, and for other purposes.",104,Senate,"Sen. Bingaman, Jeff [D-NM]",1995-03-24,Read twice and referred to the Committee on Judiciary.,Law,Pueblo of Isleta
105-hr-2089,To authorize leases on the Cabazon Indian Reservation for terms not to exceed 99 years.,105,House,"Rep. Kildee, Dale E. [D-MI-9]",1997-06-26,Referred to the House Committee on Resources.,Native Americans,Cabazon
105-hr-2314,Kickapoo Tribe of Oklahoma Federal Indian Services Restoration Act of 1998,105,House,"Rep. Watkins, Wes [R-OK-3]",1997-07-30,Received in the Senate and read twice and referred to the Committee on Indian Affairs.,Native Americans,Kickapoo of Oklahoma
105-hr-2419,To amend the Ysleta del Sur Pueblo and Alabama and Coushatta Indian Tribes of Texas Restoration Act to decrease the requisite blood quantum required for membership in the Ysleta del Sur Pueblo tribe.,105,House,"Rep. Reyes, Silvestre [D-TX-16]",1997-09-05,Referred to the House Committee on Resources.,Native Americans,Coushatta|Ysleta del Sur
105-hr-2426,"For the relief of Vince Munoz, Governor of the Tribal Council of the Ysleta del Sur Pueblo and all other enrolled members of the Ysleta del Sur Pueblo.",105,House,"Rep. Reyes, Silvestre [D-TX-16]",1997-09-05,Referred to the House Committee on the Judiciary.,Private Legislation,Ysleta del Sur
105-hr-2924,To amend the Alaskan Native Claims Settlement Act to provide for selection of lands by certain veterans of the Vietnam era and by the Elim Native Corporation.,105,House,"Rep. Young, Don [R-AK-At Large]",1997-11-07,Committee Hearings Held.,Native Americans,Elim Native Corporation
105-hr-2934,"To repeal the Bennett Freeze thus ending a gross treaty violation with the Navajo Nation and allowing the Navajo Nation citizens to live in habitable dwellings and raise their living conditions, and for other purposes.",105,House,"Rep. Hayworth, J. D. [R-AZ-6]",1997-11-08,Executive Comment Requested from Interior.,Native Americans,Navajo
105-hr-3088,"To amend the Alaska Native Claims Settlement Act, regarding Huna Totem Corporation public interest land exchange, and for other purposes.",105,House,"Rep. Young, Don [R-AK-At Large]",1997-11-13,"Placed on the Union Calendar, Calendar No. 445.",Public Lands and Natural Resources,Huna Totem Corporation
105-hr-3235,To authorize the Navajo Indian irrigation project to use power allocated to it from the Colorado River storage project for on-farm uses.,105,House,"Rep. Redmond, Bill [R-NM-3]",1998-02-12,Referred to the Subcommittee on Water and Power.,Native Americans,Navajo
105-hr-3658,Chippewa Cree Tribe of the Rocky Boy's Reservation Indian Reserved Water Rights Settlement Act of 1998,105,House,"Rep. Hill, Rick [R-MT-At Large]",1998-04-01,Subcommittee Hearings Held.,Native Americans,Chippewa-Cree
