awardee_name,canonical_name,parent_name,funding_agency,setaside,fiscal_year,total_obligations,recipient_city_name,recipient_state_code,contract_number,cedar_uid
"OCEAN BAY INFORMATION AND SYSTEMS MANAGEMENT, LLC",,OLD HARBOR NATIVE CORPORATION,Dept Of Defense,None reported,2022,98953.19,ANCHORAGE,AK,N6523622F0209,
AMERICAN HOSPITAL SERVICES GROUP LLC,Chenega Corporation,THE CHENEGA CORPORATION,Dept Of Defense,Small Business,2008,905280.0,EXTON,PA,0X07,CE-00085-6X
"MTNT ENERGY, LLC","MTNT, Ltd.","MTNT, LTD.",Dept Of Defense,8(a),2010,99796.52,MC GRATH,AK,0032,CE-000AS-8H
S & K LOGISTICS SERVICES LLC,Confederated Salish,CONFEDERATED SALISH & KOOTENAI TRIBES,Dept Of Defense,None reported,2023,144666.6,BYRON,GA,W9124P23F0122,CE-0013X-1E
BOWHEAD OPERATIONS & MAINTENANCE SOLUTIONS LLC,,UKPEAGVIK INUPIAT CORPORATION,Dept Of Defense,8(a),2021,90657.24,SPRINGFIELD,VA,SP330020C5001,
MIWOK CONSTRUCTION LLC,California Valley,MIWOK CONSTRUCTION LLC,Dept Of Defense,8(a),2020,2965540.0,LAS VEGAS,NV,W912PL20C0049,CE-0012W-P5
"SPECPRO TECHNICAL SERVICES, LLC",Bristol Bay Native Corporation,BRISTOL BAY NATIVE CORPORATION,Dept Of Defense,None reported,2015,5000.0,SAN ANTONIO,TX,0004,CE-0007A-ZA
NAMBE PUEBLO DEVELOPMENT CORP,Pueblo of Nambe,NAMBE PUEBLO DEVELOPMENT CORP,Dept Of Defense,HUBZone,2014,93431.68,SANTA FE,NM,FA485510C0018,CE-0017E-VQ
"Virginia Energy & Lighting, Llc",,Virginia Energy & Lighting,Dept Of Defense,None reported,2016,0.0,CHESTERFIELD,VA,SPE7L016V7447,
BOWHEAD SYSTEMS MANAGEMENT LLC,Ukpeaġvik Iñupiat Corporation,BOWHEAD SYSTEMS MANAGEMENT LLC,Immediate Office Of The Secretary Of Transportation,8(a),2017,672.15,ANCHORAGE,AK,0003,CE-0009Z-7Q
WOLF CREEK FEDERAL SERVICES LLC,Chugach Alaska Corporation,CHUGACH ALASKA CORPORATION,Dept Of Defense,8(a),2016,0.0,ANCHORAGE,AK,0225,CE-0007C-BW
"Iina Ba, Inc.",,Iina Ba Inc.,Indian Health Service,8(a),2013,3980.139892578125,FARMINGTON,NM,HHSI245201300272A,
OSAGE NATION,The Osage Nation,OSAGE NATION,Nan,None reported,2008,13100.33,PAWHUSKA,OK,GS07B1136708244,CE-00180-C9
Chartech Incorporated,,Chartech Inc.,"Veterans Affairs, Department Of",None reported,2008,183.75,CENTRE,AL,V589R86926,
The Aberdeen Area Tribal Chair,,Great Plains Tribal Chairmen'S Health Board,Indian Health Service,Buy Indian,2005,2500.0,RAPID CITY,SD,HHSI2412004003802,
"AMEE BAY, LLC",,OLD HARBOR NATIVE CORPORATION,Dept Of Defense,None reported,2021,39850.0,ANCHORAGE,AK,N6449821FLB10,
"DOWL, LLC","NANA Regional Corporation, Incorporated",NANA REGIONAL CORPORATION INC,Dept Of Defense,None reported,2015,-2778.75,ANCHORAGE,AK,0002,CE-0007G-30
"OLGOONIK TECHNICAL SERVICES, LLC",Olgoonik Corporation,OLGOONIK CORPORATION,Dept Of Defense,Small Business,2016,0.0,ANCHORAGE,AK,SP330013C5001,CE-000B8-7R
"ENVIRONMENTAL QUALITY MANAGEMENT, INC",Arctic Slope Regional Corporation,ARCTIC SLOPE REGIONAL CORPORATION,Environmental Protection Agency,None reported,2022,-181887.67,CINCINNATI,OH,68HE0518F0699,CE-00078-KR
"MACHIS MID-ATLANTIC, INC.",Ma-Chis Lower Creek Indian Tribe of Alabama,"MACHIS MID-ATLANTIC, INC.",Dept Of Defense,8(a),2023,6652.66,CLINTON,MD,W9127819C0046,CE-001DM-XD
DOYON / AKAL JV II,"Doyon, Limited",DOYON / AKAL JV II,U.S. Immigration And Customs Enforcement,Other,2011,73029.04,SHORELINE,WA,HSCEDM11F00002,CE-0007E-QE
OLGOONIK ENTERPRISES LLC,Olgoonik Corporation,OLGOONIK ENTERPRISES LLC,Dept Of Defense,None reported,2021,9436.16,SAINT ROBERT,MO,FA462121F0030,CE-000B8-7R
