recipient_entity_name,payer_entity_name,commodity,revenue_type,period_start,amount_usd,aggregation_level,cedar_uid
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2006-10-01,464998979.00,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2008-10-01,449462056.70,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2016-10-01,432936754.38,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2004-10-01,419793226.30,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2009-10-01,407559568.80,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2022-10-01,368524632.80,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2021-10-01,356848064.30,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2003-10-01,344255880.40,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2015-10-01,238811271.60,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2002-10-01,224798713.60,national_aggregate,
,,Gas,royalty,2000-10-01,209691809.00,national_aggregate,
