business_name_raw,certifying_authority_name,programme_name,service_category_raw,city,state_province,harvest_date,business_source_id
"Skysill Power Services, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Electrical-High Voltage/Direct Current; Safety Training; Utility-Power Lines,,,2026-09-01,TBD-045:2402
Wesson Farm's,The Chickasaw Nation,Chickasaw Business Directory,Accommodation and Food Services,Caddo,OK,2026-09-02,TBD-R01:3b6de3571b
Rose’s Food Stand,Pokagon Band of Potawatomi Indians,Tribal Owned Business & Vendor Directory (Mno-Bmadsen),Food & Catering,,,2026-08-28,TBD-C02:roses food stand
weather tech spray foam,The Chickasaw Nation,Chickasaw Business Directory,Construction,Ada,OK,2026-09-02,TBD-R01:bdd9baf821
Navi Rez Builders,Navajo Nation,Navajo Business Opportunity Act source listing,SUBCONTRACTORS,Gamerco,NM,2026-08-28,TBD-041:navi-rez-builders
Portico,"NANA Regional Corporation, Inc.",Akima operating companies,,,,2026-09-02,TBD-R06:portico
Elena's Kitchen,Lummi Nation,Lummi Owned Businesses (LIBC business-licence report),Food Vendor,,,2026-09-01,TBD-052:56
National Construction Group LLC,The Chickasaw Nation,Chickasaw Business Directory,Construction,Oklahoma City,OK,2026-09-02,TBD-R01:f27dc303a3
BAILEY ROOFING,The Chickasaw Nation,Chickasaw Business Directory,Construction,SULPHUR,OK,2026-09-02,TBD-R01:0f95753aab
"REI Holdings, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Cabling-Infrastructure; Construction-Commercial/General Contractor; Construction-Inspection Service; Drafting; Electrical-Contractor; Electrical-High Voltage; Electrical-Supplies; Engineering-Electrical; Excavation; Lighting; Project Estimation; Utility-Power Lines; Waterline Installation; Water-Treatment Plants,,,2026-09-01,TBD-045:2434
"Ironhorse Security, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,Security-Armed/Unarmed,Tulsa,OK,2026-09-01,TBD-079:147
Deacon's Rez Dawgs,Hoopa Valley Tribe,Hoopa Active Business Names (tribal business licence register),Food Trailer,,,2026-09-01,TBD-L01:37
Southern Spa & Patio,The Chickasaw Nation,Chickasaw Business Directory,Sales,Watkinsville,GA,2026-09-02,TBD-R01:0810a60c7b
"Sensible Air, LLC",Cherokee Nation,Cherokee Nation TERO Directory,HVAC-Installation/Repair,,,2026-09-01,TBD-045:984
U.S. Ice Machine,Cherokee Nation,Cherokee Nation TERO Directory,Hotel/Hospitality; Restaurant/Bar Equipment-Sales/Supplies,,,2026-09-01,TBD-045:2842
"Amber Williams Capital, LLC  dba Circa81 Design",Muscogee (Creek) Nation,MCN CESO Vendor List,"Construction-Commercial Management, Drafting, Furniture-Home, Land Development-Commercial, Land Development-Residential, Management-Consulting, Management-Operations, Management-Project,",August,KS,2026-09-01,TBD-079:26
"Casino Resource Group, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,"Flooring Installation, Flooring Sales, Furniture-Custom Made Slot/Table Game/Chairs, Furniture-Office, Bases-Gaming Machines, Mattress Sales, Restaurant/Bar Equipment-Sales/Supplies",Broken Arrow,OK,2026-09-01,TBD-079:62
Sonita’s Stitches,Calista Corporation,Calivika - Calista shareholder business directory,,,,2026-09-01,TBD-058:sonitas-stitches
Smart Homes Electric Inc,Puyallup Tribe of Indians,TERO Indian Preference Directory,Nation,Lakewood,WA,2026-09-01,TBD-C03:smart homes electric inc:nation
Align Remodeling & Construction LLC,Oneida Nation (Wisconsin),Indian Preference Vendor List,BUILDING CONSTRUCTION,Appleton,Wisconsin,2026-09-01,TBD-047:151440
Green Summit Engineering,Cherokee Nation,Cherokee Nation TERO Directory,Asset Inspections-Aerial; Drafting; Energy-Audits/Consulting; Engineering-Civil/Consulting; Engineering-Mechanical; Environmental-Assessment/Consulting; Environmental-Testing; Management-Consulting; Management-Project; Project Estimation,,,2026-09-01,TBD-045:2776
"Tsenjikini Consultants, LLC",Navajo Nation,Navajo Business Opportunity Act source listing,PROFESSIONAL SERVICES,Ganado,AZ,2026-08-28,TBD-041:tsenjikini-consultants-llc
"Wheeler Custom Embroidery, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,Embroidery,Owasso,OK,2026-09-01,TBD-079:325
Glenna Moore-Starritt Enterprises,Hoopa Valley Tribe,Hoopa Active Business Names (tribal business licence register),Consultant Service,,,2026-09-01,TBD-L01:6
"JS & T, Inc.",Cherokee Nation,Cherokee Nation TERO Directory,Carpet Cleaning; Power Washing-Sales/Service; Sludge-Removal; Fire Restoration & Cleaning; Remediation-Mold/Water; Water-Restoration & Extractions; Janitorial-Supplies,,,2026-09-01,TBD-045:1677
"Harlan Aerobic Septic Services, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Construction-Commercial/General Contractor; Construction-Residential/General Contractor; Storm Sewer Installation; Storm Shelters-Sales/Installation; Sanitary Sewer Installation; Septic Tank-Service/Pumping/Installation; Water Pump-Sales/Service,,,2026-09-01,TBD-045:2264
"Advertising Ideas, Inc.",Navajo Nation,Navajo Business Opportunity Act source listing,SUPPLIERS,Farmington,NM,2026-08-28,TBD-041:advertising-ideas-inc-2
DwConstruction,Blackfeet Nation,Blackfeet TERO Certified Indian Preference Firms,Residental Construction; Carpentry; Flooring; Painting;Fencing; Roofing; Hauling Capabilities,,,2026-09-01,TBD-053:7
"266 Native, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Excavation; Land Development-Commercial/Residential; Snow Removal,,,2026-09-01,TBD-045:2541
RED CEDAR GATHERING COMPANY,Southern Ute Indian Tribe,Indian Owned Business List,,DURANGO,CO,2026-09-02,TBD-R05:2c744c17c3
"Shale Creek Construction, LLC",The Chickasaw Nation,Chickasaw Business Directory,Construction,Ada,OK,2026-09-02,TBD-R01:7afb5e9ada
TC CONTRACTING LTD,Southern Ute Indian Tribe,Indian Owned Business List,,IGANCIO,CO,2026-09-02,TBD-R05:97e2e8fc55
Hess Mechanical Construction,Muscogee (Creek) Nation,MCN CESO Vendor List,"Above Ground Tanks-Inspection/Install/Services, Asphalt/Concrete-Striping, Ceilings-Drop/Sheetrock, Concrete-Curbs/Guttering/Driveways/Footings/Pads/Flat work, Construction-Metal Buildings/Metal Framing, Construction-Roads, Wood Framing, Drywall, Civil Engineering, Mechanical Engineering, Excavation, Engineering Structural, Fencing, Iron Work, Lawn Work, Heavy Equipement-Moving/Setting, Maintenance-Facilities, Management-Project, Oil & Gas-Consulting, Parking Lot Striping, Machinery-Metal Work, Power Washing, Recycling Metals, Sewage Treatment Plants-Construction, Siding-Metal/Vinyl/Wood, Steel -Erection/Fabrication/Stainless Steel Fabrication/Steel Supplies, Storm Shelters, Sand Blasting, Tree Removal-Stump Grinding/Trimming, Truss-Metal, Underground Tanks-Install/Remove/Service, Water Boiler/Chiller-Sales/Service, Water-Treatment Plants, Water-Treatment Service, Welding-General",Muskogee,OK,2026-09-01,TBD-079:141
Active Screen Printing,Puyallup Tribe of Indians,TERO Indian Preference Directory,Painting,,,2026-09-01,TBD-C03:active screen printing:painting
DROP TINE TRUCKING & EXCAVATION LLC,Southern Ute Indian Tribe,Indian Owned Business List,,Ignacio,CO,2026-09-02,TBD-R05:69a8c7fb95
"AG Solutions, LLC",Navajo Nation,Navajo Business Opportunity Act source listing,PROFESSIONAL SERVICES,Farmington,NM,2026-08-28,TBD-041:ag-solutions-llc
Ross-Nesbitt Electrical LLC,Eastern Band of Cherokee Indians,EBCI TERO Certified Vendor List,Electrical Contractors,,,2026-08-28,TBD-043:34824
"JGFP Group, LLC",Pyramid Lake Paiute Tribe,2025 Approved Business Licenses,Convenience Store,,,2026-09-01,TBD-M03:dcf24c1d2c#PL-2025-042
Coventon Electric Co. L.L.C.,The Chickasaw Nation,Chickasaw Business Directory,Construction,Edmond,OK,2026-09-02,TBD-R01:e8da0a4acd
TW Consulting,Three Affiliated Tribes (MHA Nation),MHA TERO Certified Indian Contractors,,,,2026-09-01,TBD-046:122
Trim Tec,Three Affiliated Tribes (MHA Nation),MHA TERO Certified Indian Contractors,,,,2026-09-01,TBD-046:117
Oneida Construction Services,Oneida Nation (Wisconsin),Indian Preference Vendor List,INTER-TRIBAL DEPARTMENTS AND ONEIDA NATION OWNED ENTERPRISES,Green Bay,Wisconsin,2026-09-01,TBD-047:row34
"Alden Plumbing, LLC (OBA Alden Mechanical)",Confederated Tribes of the Umatilla Indian Reservation,TERO Certified Indian Owned Business Directory,,Walla Walla,WA,2026-09-02,TBD-R03:13fe24e806
"Taylormade Roofing, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,"Roofing-Gravel/Shingle/Metal/Asphalt, Drywall, Cabinets-Design/Build/Install, Construction-Residential, Flooring-Installation, Painting, Patio-Covers, Real Estate-Rental Properties, Siding-Wood/Vynil, Windows-Installation",Okmulgee,OK,2026-09-01,TBD-079:286
Shock Wave Pressure Washing LLC,Hoopa Valley Tribe,Hoopa Active Business Names (tribal business licence register),Pressure Wash Services,,,2026-09-01,TBD-L01:125
"JG Builders, LLC",Three Affiliated Tribes (MHA Nation),MHA TERO Certified Indian Contractors,,,,2026-09-01,TBD-046:67
Nisqually Construction Services,Puyallup Tribe of Indians,TERO Indian Preference Directory,Nation,Olympia,WA,2026-09-01,TBD-C03:nisqually construction services:nation
Chick-Fil-A Tahlequah,Cherokee Nation,Cherokee Nation TERO Directory,Restaurant/Catering,,,2026-09-01,TBD-045:2932
"Henley Consulting, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Construction-Commercial Management,,,2026-09-01,TBD-045:2972
Global Scaffolding & Insulation,Muscogee (Creek) Nation,MCN CESO Vendor List,"Construction-Commercial, Construction-Exterior Insulation Finsih, Insulation-Install/Remove, Painting, Sandblasting",Tulsa,OK,2026-09-01,TBD-079:129
Bison Challenge Coins,Cherokee Nation,Cherokee Nation TERO Directory,Promotional Items,,,2026-09-01,TBD-045:2868
Chinle Heavy Equipment Training,Navajo Nation,Navajo Business Opportunity Act source listing,PROFESSIONAL SERVICES,Chinle,AZ,2026-08-28,TBD-041:chinle-heavy-equipment-training
JD Ross Services LLC,The Chickasaw Nation,Chickasaw Business Directory,Transportation,Tuttle,OK,2026-09-02,TBD-R01:ff12740f25
"Great Plains Sleep Specialists, Inc.",Cherokee Nation,Cherokee Nation TERO Directory,"Management, Project; Management, Property",,,2026-09-01,TBD-045:1735
"Promotional Products and Design, LLC",The Chickasaw Nation,Chickasaw Business Directory,Sales,Bethany,OK,2026-09-02,TBD-R01:43bd3784df
CDT Property Solutions LLc,The Chickasaw Nation,Chickasaw Business Directory,Construction,Elmore City,OK,2026-09-02,TBD-R01:f841366ca8
DUPUIS LOGGING INC.,Confederated Salish & Kootenai Tribes,Indian Preference Office - Indian Preference Business List,,POLSON,MT,2026-09-01,TBD-044:39
"Smokin Buffalo, LLC",Sisseton-Wahpeton Oyate,TERO Approved Indian Preference Businesses,CBD & Vape Shop & Retail Store,,,2026-09-01,TBD-M02:4c1807e50f
"Bric, LLC",Navajo Nation,Navajo Business Opportunity Act source listing,PROFESSIONAL SERVICES,Albuquerque,NM,2026-08-28,TBD-041:bric-llc
Limina Creative Studio,Lummi Nation,Lummi Owned Businesses (LIBC business-licence report),Beading & Crafts,,,2026-09-01,TBD-052:23
Beartracks NDN,Confederated Tribes of Grand Ronde,TERO Indian Owned Business list,Non-Construction; Service Area: via Internet From: Grand Ronde OR,,,2026-08-28,TBD-032:nonconstruction:beartracks-ndn
"Office Connections, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Computer-Sales; Office-Equipment/Supplies/Leasing; Furniture-Home/Office,,,2026-09-01,TBD-045:873
"Stilwell Hardware, Inc.",Cherokee Nation,Cherokee Nation TERO Directory,Agricultural-Equipment/Sales/Supplies/Produce; Janitorial-Supplies; Hardware Store; Plumbing-Supplies; Lighting; Electrical-Supplies; Painting; Lawn & Garden-Supplies/Sales/Service; HVAC-Supplies; Promotional Items; Tools-Sales; Fire Wood/Pallets-Sales; Flooring-Installation/Sales; Fencing-Sales/Supplies; Automobile-Service/Repair/Supplies; Trailers-Sales/Rentals/Service; Concrete; Livestock-Supplies; Small Engine-Sales/Service; Water Pump-Sales/Service; Industrial-Supplies/Leasing,,,2026-09-01,TBD-045:1023
"Antelope Canyon Tours, Inc.",Navajo Nation,Navajo Business Opportunity Act source listing,PROFESSIONAL SERVICES,Page,Ariz,2026-08-28,TBD-041:antelope-canyon-tours-inc-2
Mikngayaq,Calista Corporation,Calivika - Calista shareholder business directory,,,,2026-09-01,TBD-058:mikngayaq
"Stilwell Electric, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Electrical-Contractor,,,2026-09-01,TBD-045:2332
"Wayne Construction, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,"General Construction, Residential remodel, Commercial remodel, Welding Fabrication, Door Install/Repair, Window Install/repair, Siding Install/Repair, Overhead Crane Hoist, Fence Install/Repair, Minor Concrete, Small Construction Projects, Excavation, Cabinet Installation, Fire Restoration & Cleaning, Drywall, Painting, Patio Covers",Broken Arrow,OK,2026-09-01,TBD-079:321
"King Excavating, Inc.",Cherokee Nation,Cherokee Nation TERO Directory,Sanitary Sewer Installation; Septic Tank-Service/Pumping/Installation; Sewage Treatment Plants-Construction/Inspection/Evaluation; Sludge-Removal; Storm Sewer Installation; Tree Removal-Stump Grinding/Trimming; Underground Lines-Testing; Underground Tanks-Install/Remove/Service; Water Pump-Sales/Service; Waterline Installation; Water-Sales/Service/Rentals; Water-Treatment Plants,,,2026-09-01,TBD-045:2937
"Nya Clarke, Century 21",Wampanoag Tribe of Gay Head (Aquinnah),Business Directory (Planning Department listing),Sales and Rentals,Vineyard Haven,MA,2026-09-01,TBD-L04:77
"Mother Earth Eco Enterprises, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,"Cleaning Products (Organic) , Steam Cleaning, Grout Cleaning",Ada,OK,2026-09-01,TBD-079:191
Creek Oilfield Services LLC,Three Affiliated Tribes (MHA Nation),MHA TERO Certified Indian Contractors,,,,2026-09-01,TBD-046:40
LW Survey Co.,Cherokee Nation,Cherokee Nation TERO Directory,Surveying; Engineering-Civil/Consulting,,,2026-09-01,TBD-045:796
Lena's Catering,Lummi Nation,Lummi Owned Businesses (LIBC business-licence report),Food & Drinks,,,2026-09-01,TBD-052:71
"Innovative Native, LLC",Navajo Nation,Navajo Business Opportunity Act source listing,PROFESSIONAL SERVICES,St. Michaels,AZ,2026-08-28,TBD-041:innovative-native-llc
"Coryell Roofing & Construction, Inc.",Muscogee (Creek) Nation,MCN CESO Vendor List,"Commercial Roofing, Construction- Certified Roof Inspection, Roofing -Hot Asphalt/TPO, Roofing-Metal, Waterproofing",Oklahoma City,OK,2026-09-01,TBD-079:82
Cashwork Atm,Tulalip Tribes,TERO Native American Owned Business (NAOB) Registry,NON-CONSTRUCTION (Experience: 26 Years); Small Business?: False,Marysville,WA,2026-08-28,TBD-030:1482
Morano Foods,Pokagon Band of Potawatomi Indians,Tribal Owned Business & Vendor Directory (Mno-Bmadsen),Food & Catering,,,2026-08-28,TBD-C02:morano foods
Remodel Specialist LLC,The Chickasaw Nation,Chickasaw Business Directory,Construction,Midwest city,OK,2026-09-02,TBD-R01:3375f81bf6
RMB Consulting,Hoopa Valley Tribe,Hoopa Active Business Names (tribal business licence register),Consulting,,,2026-09-01,TBD-L01:94
"J & J Fire Services, LLC",The Chickasaw Nation,Chickasaw Business Directory,Administrative and Support,Norman,OK,2026-09-02,TBD-R01:f88ec59674
Five Rivers Services,"NANA Regional Corporation, Inc.",Akima operating companies,,,,2026-09-02,TBD-R06:five-rivers-enterprise-it
Logan Simpson Design,Pyramid Lake Paiute Tribe,2025 Approved Business Licenses,Environmental Consulting,,,2026-09-01,TBD-M03:a444a6b25e
Firehouse Fence and Deck,Cherokee Nation,Cherokee Nation TERO Directory,Construction-Residential/General Contractor; Fencing-Installation; Landscaping; Outdoor Recreational Products/Playground Equipment; Power Washing-Sales/Service,,,2026-09-01,TBD-045:2859
"Major League Tribes, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Asphalt; Concrete; Construction-Commercial Management; Construction-Commercial/General Contractor; Construction-Metal Buildings/Framing; Construction-Millwork/Installation/Sales; Construction-Residential/General Contractor; Construction-Wood Framing; Doors-Overhead-Installation/Sales; Electrical-Contractor; Excavation; Fencing-Installation; Flooring-Installation/Sales; HVAC-Installation/Repair; Insulation-Install/Remove; Land Development-Commercial/Residential; Masonry; Painting; Plumbing-Contractor; Sanitary Sewer Installation; Septic Tank-Service/Pumping/Installation; Steel-Fabrication; Storm Sewer Installation; Storm Shelters-Sales/Installation; Surveying,,,2026-09-01,TBD-045:2685
"Red Tail Industries, LLC",The Chickasaw Nation,Chickasaw Business Directory,Other,St. George,UT,2026-09-02,TBD-R01:27476065b8
