cedar_uid,name,entity_class,name_source,name_source_label,name_source_url,name_captured,name_match_route,prior_canonical_name,name_differs_from_prior
CE-000KV-1K,Hawaii Central Federal Credit Union,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Hawaii Central Federal Credit Union,0
CE-000KW-7C,HAWAII FIRST FCU,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,HAWAII FIRST FCU,0
CE-000KX-D5,Hawaiian Lending & Investments,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Hawaiian Lending & Investments,0
CE-000KY-KY,Haa Yakaawu Financial Corporation,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Haa Yakaawu Financial Corporation,0
CE-000KZ-SQ,"Jamestown S'Klallam Tribal Capital, Incorporated",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Jamestown S'Klallam Tribal Capital, Incorporated",0
CE-000M0-40,Kauai Federal Credit Union,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Kauai Federal Credit Union,0
CE-000M1-AS,Kahuku Federal Credit Union,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Kahuku Federal Credit Union,0
CE-000M2-GJ,Lac Courte Oreilles Federal Credit Union,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Lac Courte Oreilles Federal Credit Union,0
CE-000M3-PB,"Leech Lake Financial Services, Inc.",Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Leech Lake Financial Services, Inc.",0
CE-000M4-W4,Local Bank,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Local Bank,0
CE-000M5-2X,Lei Ho‘olaha,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Lei Ho‘olaha,0
CE-000M6-8P,Legacy Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Legacy Bank,0
CE-000M7-EF,Lake Superior Community Development Corp.,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Lake Superior Community Development Corp.,0
