retired_neid,cedar_uid,status
AKNF-NVWMTN-00-BERSTR-KAWRAK,CE-0004P-R6,unique
AKNF-OGSNKL-00-BRBYCO-BRBYAS,CE-0004Q-YZ,unique
AKNF-OHOGMT-00-CALSTA-ASVCPR,CE-0004R-4R,unique
AKNF-OSCARV-00-CALSTA-ASVCPR,CE-0004S-AH,unique
AKNF-OTSRMT-00-CALSTA-ASVCPR,CE-0004T-GA,unique
AKNF-OZNKIE-00-KONIAG,CE-0004V-P3,unique
AKNF-PDROBY-00-BRBYCO-BRBYAS,CE-0004W-WW,unique
AKNF-PILOTP-00-BRBYCO-BRBYAS,CE-0004X-2N,unique
AKNF-PILTST-00-CALSTA-ASVCPR,CE-0004Y-8E,unique
AKNF-PLATNM-00-CALSTA-ASVCPR,CE-0004Z-E7,unique
AKNF-PLFHBR-00-ALEUTC-PRBLFA,CE-00050-SG,unique
AKNF-PNTHPE-00-ARCSLO-MANLLQ,CE-00051-Z9,unique
AKNF-PNTLAY-00-ARCSLO,CE-00052-52,unique
AKNF-PRBLFC-00,CE-00053-BV,unique
AKNF-PRRYVL-00-BRBYCO-BRBYAS,CE-00054-HM,unique
AKNF-PRTGRM-00-CHGCCO-CHGCMT,CE-00055-QD,unique
AKNF-PRTHDN-00-BRBYCO-BRBYAS,CE-00056-X6,unique
AKNF-PRTLNS-00-KONIAG,CE-00057-3Z,unique
AKNF-PTKAPT-00-CALSTA-ASVCPR,CE-00058-9R,unique
AKNF-PTRSBG-00-SEALSK-TLNGHD,CE-00059-FH,unique
AKNF-QGNTGN-00-ALEUTC-PRBLFA,CE-0005A-NA,unique
AKNF-QUNHGK-00-CALSTA-ASVCPR,CE-0005B-V3,unique
AKNF-QWALGN-00-ALEUTC-PRBLFA,CE-0005C-1W,unique
AKNF-RAMPRT-00-DOYONL-CATHTG-TNNACH,CE-0005D-7N,unique
AKNF-REDDVL-00-CALSTA-ASVCPR,CE-0005E-DE,unique
AKNF-SAVNGA-00-BERSTR-KAWRAK,CE-0005F-K7,unique
AKNF-SAXMAN-00-SEALSK-TLNGHD,CE-0005G-S0,unique
AKNF-SCMNBY-00-CALSTA-ASVCPR,CE-0005H-ZS,unique
AKNF-SELAWK-00-NANARC-MANLLQ,CE-0005J-5J,unique
AKNF-SHGELK-00-DOYONL-TNNACH,CE-0005K-BB,unique
AKNF-SHKTLK-00-BERSTR-KAWRAK,CE-0005M-H4,unique
AKNF-SHNGNK-00-NANARC-MANLLQ,CE-0005N-QX,unique
AKNF-SITKAT-00-SEALSK-TLNGHD,CE-0005P-XP,unique
AKNF-SKAGWY-00-SEALSK,CE-0005Q-3F,unique
AKNF-SLDVIA-00-CKINLT,CE-0005R-98,unique
AKNF-SLMATF-00-CKINLT,CE-0005S-F1,unique
AKNF-SLTMUT-00-CALSTA-ASVCPR,CE-0005T-NT,unique
AKNF-SNKNEK-00-BRBYCO-BRBYAS,CE-0005V-VK,unique
AKNF-SOLOMN-00-BERSTR-KAWRAK,CE-0005W-1C,unique
AKNF-SSHMRF-00-BERSTR-KAWRAK,CE-0005X-75,unique
AKNF-STBBNS-00-BERSTR-KAWRAK,CE-0005Y-DY,unique
AKNF-STEVNS-00-DOYONL-CATHTG-TNNACH,CE-0005Z-KQ,unique
AKNF-STGRGE-00-ALEUTC-PRBLFA-PRBLFC,CE-00060-Y0,unique
AKNF-STMCHL-00-BERSTR-KAWRAK,CE-00061-4S,unique
AKNF-STNYRV-00-CALSTA-ASVCPR,CE-00062-AJ,unique
AKNF-STPAUL-00-ALEUTC-PRBLFA-PRBLFC,CE-00063-GB,unique
AKNF-SUNAQT-00-KONIAG,CE-00064-P4,unique
AKNF-TATTLK-00-CHGCCO-CHGCMT,CE-00065-WX,unique
AKNF-TAZLNA-00-AHTNAI-CPPRRV,CE-00066-2P,unique
AKNF-TELIDA-00-DOYONL-TNNACH,CE-00067-8F,unique
AKNF-TELLER-00-BERSTR-KAWRAK,CE-00068-E8,unique
AKNF-TETLIN-00-DOYONL-TNNACH,CE-00069-M1,unique
AKNF-TKOTNA-00-DOYONL-TNNACH,CE-0006A-TT,unique
AKNF-TLNGHD-00-SEALSK,CE-0006B-0K,unique
AKNF-TLUKSK-00-CALSTA-ASVCPR,CE-0006C-6C,unique
AKNF-TNCRSS-00-DOYONL-TNNACH,CE-0006D-C5,unique
AKNF-TNGRNQ-00-KONIAG,CE-0006E-JY,unique
AKNF-TNTTLK-00-CALSTA-ASVCPR,CE-0006F-RQ,unique
AKNF-TOGIAK-00-BRBYCO-BRBYAS,CE-0006G-YG,unique
AKNF-TUNNAK-00-CALSTA-ASVCPR,CE-0006H-49,unique
AKNF-TWINHL-00-BRBYCO-BRBYAS,CE-0006J-A2,unique
AKNF-TYONEK-00-CKINLT,CE-0006K-GV,unique
AKNF-UGASHK-00-BRBYCO-BRBYAS,CE-0006M-PM,unique
AKNF-UMKUMT-00-CALSTA-ASVCPR,CE-0006N-WD,unique
AKNF-UNLKLT-00-BERSTR-KAWRAK,CE-0006P-26,unique
AKNF-VANIAK-00-CALSTA-ASVCPR,CE-0006Q-8Z,unique
AKNF-VEAGLE-00-DOYONL-TNNACH,CE-0006R-ER,unique
AKNF-VEKWOK-00-BRBYCO-BRBYAS,CE-0006S-MH,unique
AKNF-VENTGV-00-DOYONL,CE-0006T-TA,unique
AKNF-VENTVL-00-DOYONL-CATHTG-TNNACH-VENTGV,CE-0006V-03,unique
AKNF-VILMNA-00-BRBYCO-BRBYAS,CE-0006W-6W,unique
AKNF-VKIANA-00-NANARC-MANLLQ,CE-0006X-CN,unique
AKNF-VLKAKE-00-SEALSK-TLNGHD,CE-0006Y-JE,unique
AKNF-VMINTO-00-DOYONL-TNNACH,CE-0006Z-R7,unique
AKNF-VPAIMT-00-CALSTA-ASVCPR,CE-00070-3G,unique
AKNF-VWALES-00-BERSTR-KAWRAK,CE-00071-99,unique
AKNF-WAINWT-00-ARCSLO,CE-00072-F2,unique
AKNF-WRNGLL-00-SEALSK-TLNGHD,CE-00073-NV,unique
AKNF-YKTTLN-00-SEALSK-TLNGHD,CE-00074-VM,unique
AKNF-YUPIIT-00-CALSTA-ASVCPR,CE-00075-1D,unique
ANRC-AHTNAI-00,CE-00076-76,unique
ANRC-ALEUTC-00,CE-00077-DZ,unique
ANRC-ARCSLO-00,CE-00078-KR,unique
ANRC-BERSTR-00,CE-00079-SH,unique
ANRC-BRBYCO-00,CE-0007A-ZA,unique
ANRC-CALSTA-00,CE-0007B-53,unique
ANRC-CHGCCO-00,CE-0007C-BW,unique
ANRC-CKINLT-00,CE-0007D-HN,unique
ANRC-DOYONL-00,CE-0007E-QE,unique
ANRC-KONIAG-00,CE-0007F-X7,unique
ANRC-NANARC-00,CE-0007G-30,unique
ANRC-SEALSK-00,CE-0007H-9S,unique
ANVC-AFOGNA-00,CE-0007J-FJ,unique
ANVC-AKUTA1-00,CE-0007K-NB,unique
ANVC-ALAKAN-00,CE-0007M-V4,unique
ANVC-ASKINU-00,CE-0007N-1X,unique
ANVC-ATMAUT-00,CE-0007P-7P,unique
ANVC-ATQASU-00,CE-0007Q-DF,unique
ANVC-ATXAMX-00,CE-0007R-K8,unique
ANVC-AZACHO-00,CE-0007S-S1,unique
ANVC-BAYVIE-00,CE-0007T-ZT,unique
ANVC-BEANRI-00,CE-0007V-5K,unique
ANVC-BECHAR-00,CE-0007W-BC,unique
ANVC-BETHEL-00,CE-0007X-H5,unique
ANVC-BLKFS1-00,CE-0007Y-QY,unique
ANVC-BNYLKN-00,CE-0007Z-XQ,unique
ANVC-BRVGMS-00,CE-00080-80,unique
ANVC-BVRKWT-00,CE-00081-ES,unique
ANVC-CAPEFO-00,CE-00082-MJ,unique
ANVC-CHALUK-00,CE-00083-TB,unique
ANVC-CHCKL1-00,CE-00084-04,unique
ANVC-CHENEG-00,CE-00085-6X,unique
ANVC-CHEVA1-00,CE-00086-CP,unique
ANVC-CHFRNR-00,CE-00087-JF,unique
ANVC-CHGGNG-00,CE-00088-R8,unique
ANVC-CHGNKL-00,CE-00089-Y1,unique
ANVC-CHGNKR-00,CE-0008A-4T,unique
ANVC-CHINUR-00,CE-0008B-AK,unique
ANVC-CHITIN-00,CE-0008C-GC,unique
ANVC-CHLKYT-00,CE-0008D-P5,unique
ANVC-CHLNWC-00,CE-0008E-WY,unique
ANVC-COUNCI-00,CE-0008F-2Q,unique
ANVC-CSWLLS-00,CE-0008G-8G,unique
ANVC-CULLYX-00,CE-0008H-E9,unique
ANVC-DELOYG-00,CE-0008J-M2,unique
ANVC-DINEEG-00,CE-0008K-TV,unique
ANVC-DINYEA-00,CE-0008M-0M,unique
ANVC-DLYCHT-00,CE-0008N-6D,unique
ANVC-DNZHTH-00,CE-0008P-C6,unique
ANVC-DOTLA1-00,CE-0008Q-JZ,unique
ANVC-EKLUTN-00,CE-0008R-RR,unique
ANVC-ELIMXX-00,CE-0008S-YH,unique
ANVC-EMMONA-00,CE-0008T-4A,unique
ANVC-EYAKXX-00,CE-0008V-A3,unique
ANVC-FARWES-00,CE-0008W-GW,unique
ANVC-GANAAY-00,CE-0008X-PN,unique
ANVC-GLDBLT-00,CE-0008Y-WE,unique
ANVC-GLDCRK-00,CE-0008Z-27,unique
ANVC-GNKNTV-00,CE-00090-DG,unique
ANVC-GOLOVI-00,CE-00091-K9,unique
ANVC-GWTCHY-00,CE-00092-S2,unique
ANVC-HAIDAX-00,CE-00093-ZV,unique
ANVC-HNGWTC-00,CE-00094-5M,unique
ANVC-HUNATO-00,CE-00095-BD,unique
ANVC-HYLNGD-00,CE-00096-H6,unique
ANVC-IGIUGI-00,CE-00097-QZ,unique
ANVC-INALI1-00,CE-00098-XR,unique
ANVC-IQFIJO-00,CE-00099-3H,unique
ANVC-ISANOT-00,CE-0009A-9A,unique
ANVC-KASIGL-00,CE-0009B-F3,unique
ANVC-KAVILC-00,CE-0009C-NW,unique
ANVC-KGKKTL-00,CE-0009D-VN,unique
ANVC-KHKKGY-00,CE-0009E-1E,unique
ANVC-KIANTR-00,CE-0009F-77,unique
ANVC-KIJIKX-00,CE-0009G-D0,unique
ANVC-KKKTGR-00,CE-0009H-KS,unique
ANVC-KKTRBL-00,CE-0009J-SJ,unique
ANVC-KKTVKN-00,CE-0009K-ZB,unique
ANVC-KLGNKN-00,CE-0009M-54,unique
ANVC-KLUKWA-00,CE-0009N-BX,unique
ANVC-KLWCKH-00,CE-0009P-HP,unique
ANVC-KNGCVH-00,CE-0009Q-QF,unique
ANVC-KNGNKL-00,CE-0009R-X8,unique
ANVC-KNGSLN-00,CE-0009S-31,unique
ANVC-KNIKAT-00,CE-0009T-9T,unique
ANVC-KNNTVS-00,CE-0009V-FK,unique
ANVC-KOKARM-00,CE-0009W-NC,unique
ANVC-KOOTZN-00,CE-0009X-V5,unique
ANVC-KOYUKX-00,CE-0009Y-1Y,unique
ANVC-KPVKPT-00,CE-0009Z-7Q,unique
ANVC-KSKKWM-00,CE-000A0-J0,unique
ANVC-KTLKYP-00,CE-000A1-RS,unique
ANVC-KUITSA-00,CE-000A2-YJ,unique
ANVC-KUKULG-00,CE-000A3-4B,unique
ANVC-KUUKPI-00,CE-000A4-A4,unique
ANVC-KWIKXX-00,CE-000A5-GX,unique
ANVC-KWKNTV-00,CE-000A6-PP,unique
ANVC-KWTHL1-00,CE-000A7-WF,unique
ANVC-KYTLTS-00,CE-000A8-28,unique
ANVC-LDHRBR-00,CE-000A9-81,unique
ANVC-LEISNO-00,CE-000AA-ET,unique
ANVC-LITNIK-00,CE-000AB-MK,unique
ANVC-LKNGKN-00,CE-000AC-TC,unique
ANVC-LMNNTV-00,CE-000AD-05,unique
ANVC-LMVLLG-00,CE-000AE-6Y,unique
ANVC-LSNVLL-00,CE-000AF-CQ,unique
ANVC-LVLCKN-00,CE-000AG-JG,unique
ANVC-LXNDRC-00,CE-000AH-R9,unique
ANVC-MNCHMN-00,CE-000AJ-Y2,unique
ANVC-MNDSCH-00,CE-000AK-4V,unique
ANVC-MNKTKN-00,CE-000AM-AM,unique
ANVC-MNTDVL-00,CE-000AN-GD,unique
ANVC-MNTNCR-00,CE-000AP-P6,unique
ANVC-MRYSGL-00,CE-000AQ-WZ,unique
ANVC-MSRCLQ-00,CE-000AR-2R,unique
ANVC-MTNTXX-00,CE-000AS-8H,unique
ANVC-NAPAKI-00,CE-000AT-EA,unique
ANVC-NEWTO1-00,CE-000AV-M3,unique
ANVC-NGLSHB-00,CE-000AW-TW,unique
ANVC-NIMAXX-00,CE-000AX-0N,unique
ANVC-NLSNLG-00,CE-000AY-6E,unique
ANVC-NNKKYP-00,CE-000AZ-C7,unique
ANVC-NNLCH1-00,CE-000B0-QG,unique
ANVC-NNPGLL-00,CE-000B1-X9,unique
