handle,cedar_uid,valid_from,valid_to,status,change_reason,recorded_date
AKNF-KWTHLK-00-CALSTA-ASVCPR,CE-00038-ZR,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-LARSBY-00-KONIAG,CE-00039-5H,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-LEVLCK-00-BRBYCO-BRBYAS,CE-0003A-BA,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-LIMEVL-00-CALSTA-ASVCPR,CE-0003B-H3,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-LKLSKG-00-CALSTA-ASVCPR,CE-0003C-QW,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-LOUDEN-00-DOYONL-TNNACH,CE-0003D-XN,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-MCGRTH-00-DOYONL-TNNACH,CE-0003E-3E,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-MEKRYK-00-CALSTA-ASVCPR,CE-0003F-97,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-MIGLOO-00-BERSTR-KAWRAK,CE-0003G-F0,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-MNLYHS-00-DOYONL-TNNACH,CE-0003H-NS,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-MNOKTK-00-BRBYCO-BRBYAS,CE-0003J-VJ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-MNTSTA-00-AHTNAI-CPPRRV,CE-0003K-1B,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-MRSHLL-00-CALSTA-ASVCPR,CE-0003M-74,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-MTLKTL-00-TLNGHD,CE-0003N-DX,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NAKNEK-00-BRBYCO-BRBYAS,CE-0003P-KP,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NANWLK-00-CHGCCO-CHGCMT,CE-0003Q-SF,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NAPAKK-00-CALSTA-ASVCPR,CE-0003R-Z8,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NAPSKK-00-CALSTA-ASVCPR,CE-0003S-51,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NENANA-00-DOYONL-TNNACH,CE-0003T-BT,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NEWTOK-00-CALSTA-ASVCPR,CE-0003V-HK,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NGHTMT-00-CALSTA-ASVCPR,CE-0003W-QC,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NHALEN-00-BRBYCO-BRBYAS,CE-0003X-X5,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NKLGNK-00-BRBYCO-BRBYAS,CE-0003Y-3Y,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NKLSKI-00-ALEUTC-PRBLFA,CE-0003Z-9Q,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NKOLAI-00-DOYONL-TNNACH,CE-00040-M0,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NKYRMT-00-CALSTA-ASVCPR,CE-00041-TS,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NLSONL-00-ALEUTC-PRBLFA,CE-00042-0J,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NNDLTN-00-BRBYCO-BRBYAS,CE-00043-6B,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NNLCHK-00-CKINLT,CE-00044-C4,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NNMIQA-00-CALSTA-ASVCPR,CE-00045-JX,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NNPTCK-00-CALSTA-ASVCPR,CE-00046-RP,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NOATAK-00-NANARC-MANLLQ,CE-00047-YF,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NOMECM-00-BERSTR-KAWRAK,CE-00048-48,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NOORVK-00-NANARC-MANLLQ,CE-00049-A1,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NPAIMT-00-CALSTA-ASVCPR,CE-0004A-GT,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NRTHWY-00-DOYONL-TNNACH,CE-0004B-PK,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NSTYHK-00-BRBYCO-BRBYAS,CE-0004C-WC,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NUIQST-00-ARCSLO,CE-0004D-25,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NULATO-00-DOYONL-TNNACH,CE-0004E-8Y,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NVEKUK-00-BRBYCO-BRBYAS,CE-0004F-EQ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NVELIM-00-BERSTR-KAWRAK,CE-0004G-MG,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NVEYAK-00-CHGCCO-CHGCMT,CE-0004H-T9,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NVLEEK-00-CALSTA-ASVCPR,CE-0004J-02,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NVRUBY-00-DOYONL-TNNACH,CE-0004K-6V,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NVTNNA-00-DOYONL-TNNACH,CE-0004M-CM,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NVUNGA-00-ALEUTC-PRBLFA,CE-0004N-JD,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-NVWMTN-00-BERSTR-KAWRAK,CE-0004P-R6,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-OGSNKL-00-BRBYCO-BRBYAS,CE-0004Q-YZ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-OHOGMT-00-CALSTA-ASVCPR,CE-0004R-4R,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-OSCARV-00-CALSTA-ASVCPR,CE-0004S-AH,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-OTSRMT-00-CALSTA-ASVCPR,CE-0004T-GA,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-OZNKIE-00-KONIAG,CE-0004V-P3,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PDROBY-00-BRBYCO-BRBYAS,CE-0004W-WW,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PILOTP-00-BRBYCO-BRBYAS,CE-0004X-2N,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PILTST-00-CALSTA-ASVCPR,CE-0004Y-8E,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PLATNM-00-CALSTA-ASVCPR,CE-0004Z-E7,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PLFHBR-00-ALEUTC-PRBLFA,CE-00050-SG,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PNTHPE-00-ARCSLO-MANLLQ,CE-00051-Z9,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PNTLAY-00-ARCSLO,CE-00052-52,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PRBLFC-00,CE-00053-BV,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PRRYVL-00-BRBYCO-BRBYAS,CE-00054-HM,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PRTGRM-00-CHGCCO-CHGCMT,CE-00055-QD,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PRTHDN-00-BRBYCO-BRBYAS,CE-00056-X6,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PRTLNS-00-KONIAG,CE-00057-3Z,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PTKAPT-00-CALSTA-ASVCPR,CE-00058-9R,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-PTRSBG-00-SEALSK-TLNGHD,CE-00059-FH,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-QGNTGN-00-ALEUTC-PRBLFA,CE-0005A-NA,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-QUNHGK-00-CALSTA-ASVCPR,CE-0005B-V3,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-QWALGN-00-ALEUTC-PRBLFA,CE-0005C-1W,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-RAMPRT-00-DOYONL-CATHTG-TNNACH,CE-0005D-7N,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-REDDVL-00-CALSTA-ASVCPR,CE-0005E-DE,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SAVNGA-00-BERSTR-KAWRAK,CE-0005F-K7,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SAXMAN-00-SEALSK-TLNGHD,CE-0005G-S0,2026-08-29,,current,first recorded binding,2026-08-29
