nation_id,bia_name,states,review_outcome,programs_found,documented_negative_checks,last_negative_check
bia:makah,Makah Indian Tribe of the Makah Indian Reservation,WA,"checked, no list found",0,1,2026-08-27
bia:manchester-point-arena,"Manchester Band of Pomo Indians of the Manchester Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:manley-hot-springs,Manley Hot Springs Village,AK,"checked, no list found",0,1,2026-08-28
bia:manokotak,Manokotak Village,AK,"checked, no list found",0,1,2026-08-28
bia:manzanita,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",CA,"checked, no list found",0,1,2026-08-28
bia:mashantucket-pequot,Mashantucket Pequot Indian Tribe,CT,list program(s) found,1,0,
bia:mashpee-wampanoag,Mashpee Wampanoag Tribe,MA,list program(s) found,1,0,
bia:gun-lake,Match-E-Be-Nash-She-Wish Band of Pottawatomi,MI,"checked, no list found",0,1,2026-08-27
bia:mcgrath,McGrath Native Village,AK,"checked, no list found",0,2,2026-08-28
bia:mechoopda,"Mechoopda Indian Tribe of Chico Rancheria, California",CA,list program(s) found,1,0,
bia:menominee,Menominee Indian Tribe of Wisconsin,WI,list program(s) found,2,0,
bia:mentasta,Mentasta Traditional Council,AK,"checked, no list found",0,1,2026-08-28
bia:mesa-grande,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",CA,"checked, no list found",0,1,2026-08-28
bia:mescalero-apache,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:metlakatla,"Metlakatla Indian Community, Annette Island Reserve",AK,list program(s) found,1,2,2026-08-28
bia:miami-oklahoma,Miami Tribe of Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:miccosukee,Miccosukee Tribe of Indians,FL,"checked, no list found",0,1,2026-08-27
bia:middletown-rancheria,Middletown Rancheria of Pomo Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:minnesota-chippewa-tribe,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",MN,covered via component bands,0,0,
bia:mississippi-choctaw,Mississippi Band of Choctaw Indians,MS,list program(s) found,1,0,
bia:mikmaq,Mi’kmaq Nation,ME,"checked, no list found",0,1,2026-08-27
bia:moapa,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",NV,"checked, no list found",0,1,2026-08-27
bia:modoc-nation,Modoc Nation,OK,"checked, no list found",0,1,2026-08-28
bia:mohegan,Mohegan Tribe of Indians of Connecticut,CT,"checked, no list found",0,1,2026-08-27
bia:monacan,Monacan Indian Nation,VA,"checked, no list found",0,1,2026-08-28
bia:mooretown,Mooretown Rancheria of Maidu Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:morongo,"Morongo Band of Mission Indians, California",CA,"checked, no list found",0,1,2026-08-27
bia:muckleshoot,Muckleshoot Indian Tribe,WA,list program(s) found,1,0,
bia:naknek,Naknek Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:nansemond,Nansemond Indian Nation,VA,"checked, no list found",0,1,2026-08-28
bia:narragansett,Narragansett Indian Tribe,RI,"checked, no list found",0,1,2026-08-27
bia:afognak,Native Village of Afognak,AK,"checked, no list found",0,1,2026-08-28
bia:akhiok,Native Village of Akhiok,AK,"checked, no list found",0,1,2026-08-28
bia:akutan,Native Village of Akutan,AK,"checked, no list found",0,1,2026-08-28
bia:aleknagik,Native Village of Aleknagik,AK,"checked, no list found",0,1,2026-08-28
bia:ambler,Native Village of Ambler,AK,"checked, no list found",0,1,2026-08-28
bia:atka,Native Village of Atka,AK,"checked, no list found",0,1,2026-08-28
bia:atqasuk,Native Village of Atqasuk,AK,"checked, no list found",0,1,2026-08-28
bia:native-village-of-barrow,Native Village of Barrow Inupiat Traditional Government,AK,"checked, no list found",0,1,2026-08-27
bia:belkofski,Native Village of Belkofski,AK,"checked, no list found",0,1,2026-08-28
bia:brevig-mission,Native Village of Brevig Mission,AK,"checked, no list found",0,1,2026-08-28
bia:buckland,Native Village of Buckland,AK,"checked, no list found",0,1,2026-08-28
bia:cantwell,Native Village of Cantwell,AK,"checked, no list found",0,1,2026-08-28
bia:chenega,Native Village of Chenega,AK,"checked, no list found",0,1,2026-08-28
bia:chignik-lagoon,Native Village of Chignik Lagoon,AK,"checked, no list found",0,1,2026-08-28
bia:chitina,Native Village of Chitina,AK,"checked, no list found",0,1,2026-08-28
bia:chuathbaluk,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",AK,"checked, no list found",0,1,2026-08-28
bia:council,Native Village of Council,AK,"checked, no list found",0,1,2026-08-28
bia:deering,Native Village of Deering,AK,"checked, no list found",0,1,2026-08-28
bia:diomede,Native Village of Diomede (aka Inalik),AK,"checked, no list found",0,1,2026-08-28
bia:eagle,Native Village of Eagle,AK,"checked, no list found",0,1,2026-08-28
bia:eek,Native Village of Eek,AK,"checked, no list found",0,1,2026-08-28
bia:ekuk,Native Village of Ekuk,AK,"checked, no list found",0,1,2026-08-28
bia:ekwok,Native Village of Ekwok,AK,"checked, no list found",0,1,2026-08-28
bia:elim,Native Village of Elim,AK,"checked, no list found",0,1,2026-08-28
bia:native-village-of-eyak,Native Village of Eyak (Cordova),AK,list program(s) found,1,0,
bia:false-pass,Native Village of False Pass,AK,"checked, no list found",0,1,2026-08-28
bia:fort-yukon,Native Village of Fort Yukon,AK,"checked, no list found",0,1,2026-08-28
bia:gakona,Native Village of Gakona,AK,"checked, no list found",0,1,2026-08-28
bia:gambell,Native Village of Gambell,AK,"checked, no list found",0,1,2026-08-28
bia:georgetown-ak,Native Village of Georgetown,AK,"checked, no list found",0,1,2026-08-28
bia:goodnews-bay,Native Village of Goodnews Bay,AK,"checked, no list found",0,1,2026-08-28
bia:hamilton,Native Village of Hamilton,AK,"checked, no list found",0,1,2026-08-28
bia:hooper-bay,Native Village of Hooper Bay,AK,"checked, no list found",0,1,2026-08-28
bia:kanatak,Native Village of Kanatak,AK,"checked, no list found",0,1,2026-08-28
bia:karluk,Native Village of Karluk,AK,"checked, no list found",0,1,2026-08-28
bia:kiana,Native Village of Kiana,AK,"checked, no list found",0,1,2026-08-28
bia:kipnuk,Native Village of Kipnuk,AK,"checked, no list found",0,1,2026-08-28
bia:kivalina,Native Village of Kivalina,AK,"checked, no list found",0,1,2026-08-28
bia:kluti-kaah,Native Village of Kluti Kaah (aka Copper Center),AK,"checked, no list found",0,1,2026-08-28
bia:kobuk,Native Village of Kobuk,AK,"checked, no list found",0,1,2026-08-28
bia:kongiganak,Native Village of Kongiganak,AK,"checked, no list found",0,1,2026-08-28
bia:kotzebue,Native Village of Kotzebue,AK,"checked, no list found",0,1,2026-08-27
bia:koyuk,Native Village of Koyuk,AK,"checked, no list found",0,1,2026-08-28
bia:kwigillingok,Native Village of Kwigillingok,AK,"checked, no list found",0,1,2026-08-28
bia:kwinhagak,Native Village of Kwinhagak (aka Quinhagak),AK,"checked, no list found",0,2,2026-08-28
bia:larsen-bay,Native Village of Larsen Bay,AK,"checked, no list found",0,1,2026-08-28
