tribe_id,canonical_name,entity_class,state,funding,federal-register,legislation,deals,nagpra,lobbying,contractors,subcontracting,native-owned-businesses,natural-resources,nonprofits,gaming,collections_present,total_rows
TRBF-CHMHVI-00,Chemehuevi,Federally recognized tribe,CA,206,7,0,0,42,5,124,1,0,0,10,66,8,461
ANVC-LKNGKN-00,"Aleknagik Natives, Ltd.",Alaska Native Village Corporation,AK,0,0,0,0,0,0,459,0,0,0,0,0,1,459
TRBF-WIAPYP-00,Ewiiaapaayp,Federally recognized tribe,CA,109,17,1,3,117,150,0,0,0,0,6,48,8,451
TRBF-TONTOA-00,Tonto Apache,Federally recognized tribe,AZ,92,30,0,0,117,3,49,0,0,0,13,142,7,446
TRBF-RINCON-00,Rincon,Federally recognized tribe,CA,183,18,0,7,106,11,47,1,0,0,10,60,9,443
AKNF-ALGACQ-00-CALSTA-ASVCPR,Algaaciq,Federally recognized Alaska Native Village,AK,53,24,0,0,0,0,362,0,0,0,0,0,3,439
TRBF-KILGEE-00,Kialegee Tribal Town,Federally recognized tribe,OK,176,35,0,0,185,4,4,1,0,0,9,16,8,430
TRBF-SCTTSV-00,Scotts Valley,Federally recognized tribe,CA,169,12,0,6,39,182,0,1,0,0,14,7,8,430
TRBF-TEJONT-00,Tejon,Federally recognized tribe,CA,75,23,0,0,91,192,0,0,0,0,11,36,6,428
TRBF-CPTNGR-00,Capitan Grande Band,Federally recognized tribe,CA,95,4,0,0,266,0,0,0,0,0,0,62,4,427
AKNF-VLKAKE-00-SEALSK-TLNGHD,Kake,Federally recognized Alaska Native Village,AK,213,5,0,0,20,18,78,1,0,0,32,58,8,425
TRBF-MNZNTA-00,Manzanita,Federally recognized tribe,CA,164,22,0,0,167,16,0,0,0,0,6,50,6,425
AKNF-NVTNNA-00-DOYONL-TNNACH,Tanana,Federally recognized Alaska Native Village,AK,175,9,7,0,4,1,207,1,0,0,11,0,8,415
TRBF-LSHELL-00,Little Shell Tribe,Federally recognized tribe,MT,100,15,14,0,188,61,17,1,0,0,14,0,8,410
TRBF-ONNDGA-00,Onondaga,Federally recognized tribe,NY,3,38,0,0,349,0,0,0,0,0,19,0,4,409
TCU-BLCKF1-00,Blackfeet Community College,Tribal College or University,MT,347,0,0,0,0,14,13,0,0,0,31,0,4,405
AKNF-BLLMSL-00-CALSTA-ASVCPR,Bill Moore's Slough,Federally recognized Alaska Native Village,AK,31,2,0,0,0,0,370,1,0,0,0,0,4,404
TRBF-CHCKNR-00,Chicken Ranch,Federally recognized tribe,CA,92,23,0,0,152,0,53,1,0,0,6,77,7,404
TRBF-ELKVLY-00,Elk Valley,Federally recognized tribe,CA,126,9,0,0,17,62,65,1,0,0,5,115,8,400
TRBF-GREENV-00,Greenville,Federally recognized tribe,CA,298,21,0,0,22,7,0,1,0,0,11,35,7,395
AKNF-HOONAH-00-SEALSK-TLNGHD,Hoonah,Federally recognized Alaska Native Village,AK,239,10,0,3,27,1,85,1,0,0,27,0,8,393
SGVF-CPPRRV-00,Copper River Native Association,Federal-level self-governance consortium,AK,371,0,0,0,0,3,0,1,0,0,13,0,4,388
TRBF-HOHTRB-00,Hoh,Federally recognized tribe,WA,268,8,4,3,15,14,26,1,0,0,13,34,10,386
TRBF-CACHLD-00,Cachil DeHe,Federally recognized tribe,CA,209,7,0,5,84,1,0,1,0,0,4,70,8,381
